ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,basic-agent-run,1785810411551775,1785810411553090,1315,201,124548,251585,165800,run-root-98851,true,true,true,true,1,0,2,0,0,0,0,
1,basic-agent-run,1785810411553203,1785810411554258,1055,201,164656,230211,196135,run-root-98859,false,false,true,true,1,0,2,0,0,0,0,
2,basic-agent-run,1785810411554632,1785810411555365,733,201,103665,225034,162971,run-root-98845,false,false,true,true,1,0,2,0,0,0,0,
3,basic-agent-run,1785810411556060,1785810411557529,1469,201,140924,256241,178629,run-root-98857,false,false,true,true,1,0,2,0,0,0,0,
4,basic-agent-run,1785810411557489,1785810411558681,1192,201,123159,246675,159303,run-root-98850,false,false,true,true,1,0,2,0,0,0,0,
5,approval-smtp,1785810411558917,1785810411559851,934,201,142282,260636,199726,run-root-98856,false,false,true,true,1,0,2,0,1,1,1,
6,basic-agent-run,1785810411560346,1785810411561029,683,201,161376,269325,234779,run-root-98862,false,false,true,true,1,0,2,0,0,0,0,
7,basic-agent-run,1785810411561774,1785810411563181,1407,201,118657,202439,154385,run-root-98849,false,false,true,true,1,0,2,0,0,0,0,
8,basic-agent-run,1785810411563203,1785810411564349,1146,201,156568,265222,214137,run-root-98863,false,false,true,true,1,0,2,0,0,0,0,
9,basic-agent-run,1785810411564632,1785810411565452,820,201,157244,274365,248021,run-root-98864,false,false,true,true,1,0,2,0,0,0,0,
10,basic-agent-run,1785810411566060,1785810411567157,1097,201,162976,277687,263325,run-root-98865,false,false,true,true,1,0,2,0,0,0,0,
11,basic-agent-run,1785810411567489,1785810411568298,809,201,157922,1283262,288492,run-root-98867,false,false,true,true,1,0,2,0,0,0,0,
12,basic-agent-run,1785810411568917,1785810411574033,5116,201,124338,220621,159821,run-root-98852,false,false,true,true,1,0,2,0,0,0,0,
13,awaited-workflow,1785810411570346,1785810411574049,3703,201,138067,263776,195115,run-root-98860,false,false,true,true,1,0,2,1,0,0,0,
14,basic-agent-run,1785810411571774,1785810411574226,2452,201,154519,1277284,281063,run-root-98868,false,false,true,true,1,0,2,0,0,0,0,
15,basic-agent-run,1785810411573203,1785810411574203,1000,201,167330,1287198,281560,run-root-98869,false,false,true,true,1,0,2,0,0,0,0,
16,basic-agent-run,1785810411574632,1785810411575703,1071,201,135284,246544,163333,run-root-98858,false,false,true,true,1,0,2,0,0,0,0,
17,basic-agent-run,1785810411576060,1785810411576949,889,201,173355,1266520,276710,run-root-98870,false,false,true,true,1,0,2,0,0,0,0,
18,basic-agent-run,1785810411577489,1785810411578353,864,201,180315,518437,279003,run-root-98872,false,false,true,true,1,0,2,0,0,0,0,
19,basic-agent-run,1785810411578917,1785810411580776,1859,201,167383,293397,270508,run-root-98873,false,false,true,true,1,0,2,0,0,0,0,
20,basic-agent-run,1785810411580346,1785810411580897,551,201,163576,1280366,274268,run-root-98871,false,false,true,true,1,0,2,0,0,0,0,
21,child-fanout,1785810411581774,1785810411583930,2156,201,162661,1244125,695542,run-root-98874,false,false,true,true,3,2,2,0,0,0,0,
22,basic-agent-run,1785810411583203,1785810411583948,745,201,90175,213759,133205,run-root-98848,false,false,true,true,1,0,2,0,0,0,0,
23,basic-agent-run,1785810411584632,1785810411585357,725,201,84263,211268,133569,run-root-98847,false,false,true,true,1,0,2,0,0,0,0,
24,basic-agent-run,1785810411586060,1785810411587422,1362,201,167421,1251774,279543,run-root-98877,false,false,true,true,1,0,2,0,0,0,0,
25,basic-agent-run,1785810411587489,1785810411588590,1101,201,186570,1283698,321652,run-root-98884,false,false,true,true,1,0,2,0,0,0,0,
26,basic-agent-run,1785810411588917,1785810411590599,1682,201,69849,147104,128092,run-root-98846,false,false,true,true,1,0,2,0,0,0,0,
27,basic-agent-run,1785810411590346,1785810411590739,393,201,162798,472658,268425,run-root-98876,false,false,true,true,1,0,2,0,0,0,0,
28,basic-agent-run,1785810411591774,1785810411593986,2212,201,163076,494446,274966,run-root-98878,false,false,true,true,1,0,2,0,0,0,0,
29,basic-agent-run,1785810411593203,1785810411594067,864,201,171918,518519,284683,run-root-98881,false,false,true,true,1,0,2,0,0,0,0,
30,basic-agent-run,1785810411594632,1785810411595415,783,201,165577,499824,282703,run-root-98883,false,false,true,true,1,0,2,0,0,0,0,
31,basic-agent-run,1785810411596060,1785810411597223,1163,201,171282,514637,306938,run-root-98885,false,false,true,true,1,0,2,0,0,0,0,
32,sandbox-artifact,1785810411597489,1785810411598415,926,201,103009,215086,147037,run-root-98854,false,false,true,true,1,0,2,0,0,0,0,
33,basic-agent-run,1785810411598917,1785810411600392,1475,201,176461,551791,306056,run-root-98888,false,false,true,true,1,0,2,0,0,0,0,
34,basic-agent-run,1785810411600346,1785810411601202,856,201,92204,187483,131805,run-root-98853,false,false,true,true,1,0,2,0,0,0,0,
35,basic-agent-run,1785810411601774,1785810411603042,1268,201,88506,208308,130311,run-root-98855,false,false,true,true,1,0,2,0,0,0,0,
36,basic-agent-run,1785810411603203,1785810411604389,1186,201,180243,580889,337686,run-root-98894,false,false,true,true,1,0,2,0,0,0,0,
37,basic-agent-run,1785810411604632,1785810411605599,967,201,106599,173751,152217,run-root-98861,false,false,true,true,1,0,2,0,0,0,0,
38,basic-agent-run,1785810411606060,1785810411606914,854,201,166773,540316,297760,run-root-98887,false,false,true,true,1,0,2,0,0,0,0,
39,basic-agent-run,1785810411607489,1785810411607888,399,201,176203,562774,303620,run-root-98893,false,false,true,true,1,0,2,0,0,0,0,
40,child-fanout,1785810411608917,1785810411609888,971,201,167832,1553977,639035,run-root-98889,false,false,true,true,3,2,2,0,0,0,0,
41,basic-agent-run,1785810411610346,1785810411611183,837,201,121680,1210527,241023,run-root-98866,false,false,true,true,1,0,2,0,0,0,0,
42,basic-agent-run,1785810411611774,1785810411613389,1615,201,150317,1241526,260506,run-root-98879,false,false,true,true,1,0,2,0,0,0,0,
43,basic-agent-run,1785810411613203,1785810411613985,782,201,174329,1254702,331696,run-root-98897,false,false,true,true,1,0,2,0,0,0,0,
44,basic-agent-run,1785810411614632,1785810411615498,866,201,150386,494954,263677,run-root-98880,false,false,true,true,1,0,2,0,0,0,0,
45,basic-agent-run,1785810411616060,1785810411617317,1257,201,169109,568370,330146,run-root-98898,false,false,true,true,1,0,2,0,0,0,0,
46,basic-agent-run,1785810411617489,1785810411617869,380,201,153787,506618,259046,run-root-98882,false,false,true,true,1,0,2,0,0,0,0,
47,basic-agent-run,1785810411618917,1785810411619980,1063,201,133482,270871,244638,run-root-98875,false,false,true,true,1,0,2,0,0,0,0,
48,basic-agent-run,1785810411620346,1785810411621088,742,201,154643,1257257,285491,run-root-98886,false,false,true,true,1,0,2,0,0,0,0,
49,basic-agent-run,1785810411621774,1785810411623465,1691,201,148565,512499,281565,run-root-98890,false,false,true,true,1,0,2,0,0,0,0,
50,basic-agent-run,1785810411623203,1785810411624253,1050,201,159987,1248084,319018,run-root-98896,false,false,true,true,1,0,2,0,0,0,0,
51,basic-agent-run,1785810411624632,1785810411625446,814,201,161270,1258298,331824,run-root-98900,false,false,true,true,1,0,2,0,0,0,0,
52,basic-agent-run,1785810411626060,1785810411626979,919,201,163758,560090,305172,run-root-98902,false,false,true,true,1,0,2,0,0,0,0,
53,basic-agent-run,1785810411627489,1785810411628413,924,201,151239,536345,315214,run-root-98895,false,false,true,true,1,0,2,0,0,0,0,
54,basic-agent-run,1785810411628917,1785810411629895,978,201,150553,534977,318886,run-root-98899,false,false,true,true,1,0,2,0,0,0,0,
55,basic-agent-run,1785810411630346,1785810411630727,381,201,166761,583056,302710,run-root-98905,false,false,true,true,1,0,2,0,0,0,0,
56,basic-agent-run,1785810411631774,1785810411632894,1120,201,169036,590870,304237,run-root-98907,false,false,true,true,1,0,2,0,0,0,0,
57,basic-agent-run,1785810411633203,1785810411634741,1538,201,161777,568540,295140,run-root-98906,false,false,true,true,1,0,2,0,0,0,0,
58,basic-agent-run,1785810411634632,1785810411634775,143,201,138629,506516,268988,run-root-98891,false,false,true,true,1,0,2,0,0,0,0,
59,detached-workflow,1785810411636060,1785810411637551,1491,201,142033,516509,297740,run-root-98903,false,false,true,true,1,0,2,1,0,0,0,
60,basic-agent-run,1785810411637489,1785810411638759,1270,201,175244,1267499,377952,run-root-98914,false,false,true,true,1,0,2,0,0,0,0,
61,basic-agent-run,1785810411638917,1785810411639752,835,201,176777,607351,291072,run-root-98920,false,false,true,true,1,0,2,0,0,0,0,
62,basic-agent-run,1785810411640346,1785810411640938,592,201,132750,1234151,262745,run-root-98892,false,false,true,true,1,0,2,0,0,0,0,
63,basic-agent-run,1785810411641774,1785810411643393,1619,201,154627,573975,294970,run-root-98911,false,false,true,true,1,0,2,0,0,0,0,
64,basic-agent-run,1785810411643203,1785810411644480,1277,201,164901,1258915,373470,run-root-98915,false,false,true,true,1,0,2,0,0,0,0,
65,basic-agent-run,1785810411644632,1785810411645073,441,201,139366,536763,288005,run-root-98901,false,false,true,true,1,0,2,0,0,0,0,
66,basic-agent-run,1785810411646060,1785810411647011,951,201,137094,523591,287060,run-root-98904,false,false,true,true,1,0,2,0,0,0,0,
