ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,basic-agent-run,1785810984334104,1785810984335513,1409,201,290598,767474,310736,run-root-109349,true,true,true,true,1,0,2,0,0,0,0,
1,basic-agent-run,1785810984338414,1785810984339734,1320,201,318835,785237,338865,run-root-109358,false,false,true,true,1,0,2,0,0,0,0,
2,basic-agent-run,1785810984342724,1785810984343902,1178,201,304313,774288,317382,run-root-109353,false,false,true,true,1,0,2,0,0,0,0,
3,basic-agent-run,1785810984347035,1785810984349031,1996,201,291814,765235,318033,run-root-109352,false,false,true,true,1,0,2,0,0,0,0,
4,basic-agent-run,1785810984351345,1785810984353080,1735,201,252425,734367,269592,run-root-109347,false,false,true,true,1,0,2,0,0,0,0,
5,approval-smtp,1785810984355655,1785810984356344,689,201,256543,737969,291814,run-root-109345,false,false,true,true,1,0,2,0,1,1,1,
6,basic-agent-run,1785810984359966,1785810984360507,541,201,309076,771533,324355,run-root-109360,false,false,true,true,1,0,2,0,0,0,0,
7,basic-agent-run,1785810984364276,1785810984365593,1317,201,291211,706916,313819,run-root-109357,false,false,true,true,1,0,2,0,0,0,0,
8,basic-agent-run,1785810984368586,1785810984369702,1116,201,269622,740239,296708,run-root-109355,false,false,true,true,1,0,2,0,0,0,0,
9,basic-agent-run,1785810984372897,1785810984373826,929,201,309059,762135,323326,run-root-109363,false,false,true,true,1,0,2,0,0,0,0,
10,basic-agent-run,1785810984377207,1785810984378955,1748,201,308083,763124,328788,run-root-109362,false,false,true,true,1,0,2,0,0,0,0,
11,basic-agent-run,1785810984381517,1785810984383195,1678,201,311807,765867,336668,run-root-109366,false,false,true,true,1,0,2,0,0,0,0,
12,basic-agent-run,1785810984385828,1785810984386409,581,201,293477,714178,311331,run-root-109364,false,false,true,true,1,0,2,0,0,0,0,
13,awaited-workflow,1785810984390138,1785810984391723,1585,201,307056,771821,337620,run-root-109367,false,false,true,true,1,0,2,1,0,0,0,
14,basic-agent-run,1785810984394448,1785810984395985,1537,201,216863,676179,240455,run-root-109346,false,false,true,true,1,0,2,0,0,0,0,
15,basic-agent-run,1785810984398759,1785810984400157,1398,201,225548,690341,247331,run-root-109348,false,false,true,true,1,0,2,0,0,0,0,
16,basic-agent-run,1785810984403069,1785810984404415,1346,201,293560,754495,308003,run-root-109368,false,false,true,true,1,0,2,0,0,0,0,
17,basic-agent-run,1785810984407379,1785810984408587,1208,201,245688,712507,266499,run-root-109356,false,false,true,true,1,0,2,0,0,0,0,
18,basic-agent-run,1785810984411690,1785810984412868,1178,201,217331,691974,244178,run-root-109351,false,false,true,true,1,0,2,0,0,0,0,
19,basic-agent-run,1785810984416000,1785810984417172,1172,201,270424,727726,290079,run-root-109365,false,false,true,true,1,0,2,0,0,0,0,
20,basic-agent-run,1785810984420310,1785810984421344,1034,201,210853,685314,228379,run-root-109350,false,false,true,true,1,0,2,0,0,0,0,
21,child-fanout,1785810984424621,1785810984425367,746,201,215677,691190,425488,run-root-109354,false,false,true,true,3,2,2,0,0,0,0,
22,basic-agent-run,1785810984428931,1785810984429540,609,201,240549,702497,256296,run-root-109361,false,false,true,true,1,0,2,0,0,0,0,
23,basic-agent-run,1785810984433241,1785810984434630,1389,201,273062,731581,289554,run-root-109371,false,false,true,true,1,0,2,0,0,0,0,
24,basic-agent-run,1785810984437552,1785810984438798,1246,201,268896,657326,287143,run-root-109370,false,false,true,true,1,0,2,0,0,0,0,
25,basic-agent-run,1785810984441862,1785810984442912,1050,201,275717,734956,298737,run-root-109375,false,false,true,true,1,0,2,0,0,0,0,
26,basic-agent-run,1785810984446172,1785810984448073,1901,201,249530,704148,270951,run-root-109369,false,false,true,true,1,0,2,0,0,0,0,
27,basic-agent-run,1785810984450483,1785810984451420,937,201,263796,724631,281565,run-root-109376,false,false,true,true,1,0,2,0,0,0,0,
28,basic-agent-run,1785810984454793,1785810984455599,806,201,269287,724154,282885,run-root-109378,false,false,true,true,1,0,2,0,0,0,0,
29,basic-agent-run,1785810984459104,1785810984460906,1802,201,242016,701997,267015,run-root-109373,false,false,true,true,1,0,2,0,0,0,0,
30,basic-agent-run,1785810984463414,1785810984465174,1760,201,240662,698855,267092,run-root-109374,false,false,true,true,1,0,2,0,0,0,0,
31,basic-agent-run,1785810984467724,1785810984468448,724,201,267464,604517,284161,run-root-109380,false,false,true,true,1,0,2,0,0,0,0,
32,sandbox-artifact,1785810984472035,1785810984473609,1574,201,277204,741688,309923,run-root-109387,false,false,true,true,1,0,2,0,0,0,0,
33,basic-agent-run,1785810984476345,1785810984477948,1603,201,250799,704553,265777,run-root-109379,false,false,true,true,1,0,2,0,0,0,0,
34,basic-agent-run,1785810984480655,1785810984482294,1639,201,230716,694589,248340,run-root-109372,false,false,true,true,1,0,2,0,0,0,0,
35,basic-agent-run,1785810984484966,1785810984485553,587,201,227477,693315,243255,run-root-109377,false,false,true,true,1,0,2,0,0,0,0,
36,basic-agent-run,1785810984489276,1785810984490866,1590,201,194416,643174,207610,run-root-109359,false,false,true,true,1,0,2,0,0,0,0,
37,basic-agent-run,1785810984493586,1785810984495100,1514,201,236994,696245,253038,run-root-109381,false,false,true,true,1,0,2,0,0,0,0,
38,basic-agent-run,1785810984497897,1785810984498423,526,201,241470,700103,255466,run-root-109383,false,false,true,true,1,0,2,0,0,0,0,
39,basic-agent-run,1785810984502207,1785810984513791,11584,201,228597,693432,246618,run-root-109386,false,false,true,true,1,0,2,0,0,0,0,
40,child-fanout,1785810984506517,1785810984513938,7421,201,221985,679739,404524,run-root-109382,false,false,true,true,3,2,2,0,0,0,0,
41,basic-agent-run,1785810984510828,1785810984513947,3119,201,224148,682306,239804,run-root-109384,false,false,true,true,1,0,2,0,0,0,0,
42,basic-agent-run,1785810984515138,1785810984517321,2183,201,211461,675658,225306,run-root-109385,false,false,true,true,1,0,2,0,0,0,0,
43,basic-agent-run,1785810984519448,1785810984520409,961,201,227871,695576,251479,run-root-109388,false,false,true,true,1,0,2,0,0,0,0,
44,basic-agent-run,1785810984523759,1785810984525162,1403,201,219080,688999,234266,run-root-109389,false,false,true,true,1,0,2,0,0,0,0,
45,basic-agent-run,1785810984528069,1785810984529438,1369,201,222933,684929,244319,run-root-109390,false,false,true,true,1,0,2,0,0,0,0,
46,basic-agent-run,1785810984532379,1785810984533371,992,201,220810,693163,241851,run-root-109392,false,false,true,true,1,0,2,0,0,0,0,
47,basic-agent-run,1785810984536690,1785810984537463,773,201,221146,693369,238620,run-root-109393,false,false,true,true,1,0,2,0,0,0,0,
48,basic-agent-run,1785810984541000,1785810984541749,749,201,201957,543792,219137,run-root-109391,false,false,true,true,1,0,2,0,0,0,0,
49,basic-agent-run,1785810984545310,1785810984546186,876,201,216064,683828,233142,run-root-109394,false,false,true,true,1,0,2,0,0,0,0,
50,basic-agent-run,1785810984549621,1785810984550605,984,201,215862,680802,235720,run-root-109395,false,false,true,true,1,0,2,0,0,0,0,
51,basic-agent-run,1785810984553931,1785810984554573,642,201,216246,692258,244253,run-root-109397,false,false,true,true,1,0,2,0,0,0,0,
52,basic-agent-run,1785810984558241,1785810984560213,1972,201,206318,598856,225644,run-root-109396,false,false,true,true,1,0,2,0,0,0,0,
53,basic-agent-run,1785810984562552,1785810984563238,686,201,209548,691179,228998,run-root-109398,false,false,true,true,1,0,2,0,0,0,0,
54,basic-agent-run,1785810984566862,1785810984567739,877,201,211889,705912,227087,run-root-109401,false,false,true,true,1,0,2,0,0,0,0,
55,basic-agent-run,1785810984571172,1785810984572976,1804,201,201673,685941,220200,run-root-109400,false,false,true,true,1,0,2,0,0,0,0,
56,basic-agent-run,1785810984575483,1785810984576422,939,201,210973,721309,232725,run-root-109405,false,false,true,true,1,0,2,0,0,0,0,
57,basic-agent-run,1785810984579793,1785810984581171,1378,201,198109,686880,221562,run-root-109404,false,false,true,true,1,0,2,0,0,0,0,
58,basic-agent-run,1785810984584104,1785810984586171,2067,201,195123,698516,221426,run-root-109403,false,false,true,true,1,0,2,0,0,0,0,
59,detached-workflow,1785810984588414,1785810984589702,1288,201,177290,651218,208494,run-root-109399,false,false,true,true,1,0,2,1,0,0,0,
60,basic-agent-run,1785810984592724,1785810984593555,831,201,177272,656453,210200,run-root-109402,false,false,true,true,1,0,2,0,0,0,0,
61,basic-agent-run,1785810984597035,1785810984598436,1401,201,202547,723231,216238,run-root-109409,false,false,true,true,1,0,2,0,0,0,0,
62,basic-agent-run,1785810984601345,1785810984602334,989,201,185398,701024,204730,run-root-109408,false,false,true,true,1,0,2,0,0,0,0,
63,basic-agent-run,1785810984605655,1785810984606746,1091,201,175312,677201,200430,run-root-109406,false,false,true,true,1,0,2,0,0,0,0,
64,basic-agent-run,1785810984609966,1785810984610366,400,201,167294,656579,183630,run-root-109407,false,false,true,true,1,0,2,0,0,0,0,
65,basic-agent-run,1785810984614276,1785810984615452,1176,201,176979,693323,201650,run-root-109412,false,false,true,true,1,0,2,0,0,0,0,
66,basic-agent-run,1785810984618586,1785810984619459,873,201,175485,692355,194689,run-root-109411,false,false,true,true,1,0,2,0,0,0,0,
67,child-fanout,1785810984622897,1785810984623677,780,201,171427,695161,376533,run-root-109413,false,false,true,true,3,2,2,0,0,0,0,
68,basic-agent-run,1785810984627207,1785810984628568,1361,201,153850,658588,180015,run-root-109410,false,false,true,true,1,0,2,0,0,0,0,
69,basic-agent-run,1785810984631517,1785810984632307,790,201,171954,694213,193437,run-root-109415,false,false,true,true,1,0,2,0,0,0,0,
70,basic-agent-run,1785810984635828,1785810984636131,303,201,183983,699945,203681,run-root-109416,false,false,true,true,1,0,2,0,0,0,0,
71,basic-agent-run,1785810984640138,1785810984641109,971,201,149681,659287,170769,run-root-109414,false,false,true,true,1,0,2,0,0,0,0,
72,basic-agent-run,1785810984644448,1785810984645664,1216,201,175483,690332,195355,run-root-109420,false,false,true,true,1,0,2,0,0,0,0,
73,basic-agent-run,1785810984648759,1785810984649463,704,201,149646,675141,174607,run-root-109418,false,false,true,true,1,0,2,0,0,0,0,
74,basic-agent-run,1785810984653069,1785810984654400,1331,201,151748,672664,170906,run-root-109421,false,false,true,true,1,0,2,0,0,0,0,
