ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,measured-agent-decision,1785821894767899,1785821894769217,1318,201,320485,1343766,451941,run-root-169099,true,true,true,true,1,0,2,0,0,0,0,
1,measured-agent-decision,1785821894770054,1785821894771368,1314,201,370257,1674934,642934,run-root-169118,false,false,true,true,2,1,2,0,0,0,0,
2,measured-agent-decision,1785821894772209,1785821894773589,1380,201,391807,1701676,960322,run-root-169123,false,false,true,true,2,1,2,0,0,0,0,
3,measured-agent-decision,1785821894774364,1785821894775819,1455,201,336187,1473247,517186,run-root-169107,false,false,true,true,1,0,2,1,0,0,0,
4,measured-agent-decision,1785821894776519,1785821894777964,1445,201,381800,1697117,754481,run-root-169122,false,false,true,true,2,1,2,0,0,0,0,
5,measured-agent-decision,1785821894778674,1785821894780074,1400,201,365541,1668438,717402,run-root-169120,false,false,true,true,2,1,2,0,0,0,0,
6,measured-agent-decision,1785821894780830,1785821894781190,360,201,365487,1687494,825187,run-root-169121,false,false,true,true,2,1,2,0,0,0,0,
7,measured-agent-decision,1785821894782985,1785821894784364,1379,201,340115,1619831,515447,run-root-169111,false,false,true,true,1,0,2,1,0,0,0,
8,measured-agent-decision,1785821894785140,1785821894786457,1317,201,380169,1703010,794753,run-root-169124,false,false,true,true,2,1,2,0,0,0,0,
9,measured-agent-decision,1785821894787295,1785821894788538,1243,201,341415,1634577,514850,run-root-169113,false,false,true,true,1,0,2,1,0,0,0,
10,measured-agent-decision,1785821894789450,1785821894790615,1165,201,378494,1700456,957593,run-root-169126,false,false,true,true,5,4,2,0,0,0,0,
11,measured-agent-decision,1785821894791605,1785821894792706,1101,201,340612,1644639,510403,run-root-169116,false,false,true,true,1,0,2,1,0,0,0,
12,measured-agent-decision,1785821894793761,1785821894794907,1146,201,375018,1705629,502150,run-root-169129,false,false,true,true,1,0,2,0,0,0,0,
