ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,measured-agent-decision,1785823222681096,1785823222682548,1452,201,767995,9620663,812364,run-root-181734,true,true,true,true,1,0,2,1,1,1,1,
1,measured-agent-decision,1785823222681096,1785823222682608,1512,201,835410,9644272,910702,run-root-181735,false,false,true,true,1,0,2,0,0,0,0,
2,measured-agent-decision,1785823222681096,1785823222682625,1529,201,961827,9727480,1025907,run-root-181737,false,false,true,true,1,0,2,0,0,0,0,
3,measured-agent-decision,1785823222681096,1785823222682685,1589,201,888554,9707871,913707,run-root-181736,false,false,true,true,1,0,2,0,0,0,0,
4,measured-agent-decision,1785823222681096,1785823222683076,1980,201,1144440,10606723,1204534,run-root-181758,false,false,true,true,1,0,2,1,0,0,0,
5,measured-agent-decision,1785823222681096,1785823222682744,1648,201,1020914,9907256,1041348,run-root-181740,false,false,true,true,1,0,2,0,0,0,0,
6,measured-agent-decision,1785823222681096,1785823222683892,2796,201,1257001,9874747,1275216,run-root-181779,false,false,true,true,1,0,2,0,0,0,0,
7,measured-agent-decision,1785823222681096,1785823222682770,1674,201,1093499,10149982,1139390,run-root-181748,false,false,true,true,1,0,2,1,0,0,0,
8,measured-agent-decision,1785823222681096,1785823222683343,2247,201,1202302,10707756,1419705,run-root-181767,false,false,true,true,2,1,2,0,0,0,0,
9,measured-agent-decision,1785823222681096,1785823222686181,5085,201,1395681,11129291,1436775,run-root-181824,false,false,true,true,1,0,2,0,0,0,0,
10,measured-agent-decision,1785823222681096,1785823222682777,1681,201,1066308,10028831,1091450,run-root-181742,false,false,true,true,1,0,2,0,0,0,0,
11,measured-agent-decision,1785823222681096,1785823222687006,5910,201,1424645,11152036,1519398,run-root-181840,false,false,true,true,1,0,2,1,0,0,0,
12,measured-agent-decision,1785823222681096,1785823222689857,8761,201,1605419,11272758,1680850,run-root-181897,false,false,true,true,1,0,2,0,0,0,0,
13,measured-agent-decision,1785823222681096,1785823222682798,1702,201,1085817,10116903,1134700,run-root-181747,false,false,true,true,1,0,2,1,0,0,0,
14,measured-agent-decision,1785823222681096,1785823222683381,2285,201,1101613,10166174,1132391,run-root-181750,false,false,true,true,1,0,2,1,0,0,0,
15,measured-agent-decision,1785823222681096,1785823222684845,3749,201,1313210,11078790,1366045,run-root-181797,false,false,true,true,1,0,2,1,0,0,0,
16,measured-agent-decision,1785823222681096,1785823222682811,1715,201,1090227,10132680,1137874,run-root-181749,false,false,true,true,1,0,2,1,0,0,0,
17,measured-agent-decision,1785823222681096,1785823222685868,4772,201,1349912,11105053,1400247,run-root-181815,false,false,true,true,1,0,2,0,0,0,0,
18,measured-agent-decision,1785823222681096,1785823222687626,6530,201,1450303,11169346,1891122,run-root-181852,false,false,true,true,5,4,2,0,0,0,0,
19,measured-agent-decision,1785823222681096,1785823222682833,1737,201,1121661,10230497,1179871,run-root-181751,false,false,true,true,1,0,2,1,0,0,0,
20,measured-agent-decision,1785823222681096,1785823222683675,2579,201,1235750,11040448,1251495,run-root-181777,false,false,true,true,1,0,2,0,0,0,0,
21,measured-agent-decision,1785823222681096,1785823222686707,5611,201,1410802,11140888,1520360,run-root-181831,false,false,true,true,1,0,2,1,0,0,0,
22,measured-agent-decision,1785823222681096,1785823222682853,1757,201,1144509,10587030,1197187,run-root-181752,false,false,true,true,1,0,2,1,0,0,0,
23,measured-agent-decision,1785823222681096,1785823222683842,2746,201,1263671,9864370,1283382,run-root-181780,false,false,true,true,1,0,2,0,0,0,0,
24,measured-agent-decision,1785823222681096,1785823222686892,5796,201,1428348,11164235,1577771,run-root-181839,false,false,true,true,1,0,2,1,0,0,0,
25,measured-agent-decision,1785823222681096,1785823222682863,1767,201,1140190,10567118,1195576,run-root-181754,false,false,true,true,1,0,2,1,0,0,0,
26,measured-agent-decision,1785823222681096,1785823222683266,2170,201,1216853,10981037,1722689,run-root-181770,false,false,true,true,5,4,2,0,0,0,0,
27,measured-agent-decision,1785823222681096,1785823222685919,4823,201,1347708,11103638,1412770,run-root-181817,false,false,true,true,1,0,2,1,1,1,1,
28,measured-agent-decision,1785823222681096,1785823222682894,1798,201,1036173,9922791,1047963,run-root-181741,false,false,true,true,1,0,2,0,0,0,0,
29,measured-agent-decision,1785823222681096,1785823222684076,2980,201,1085317,9689657,1108753,run-root-181746,false,false,true,true,1,0,2,0,0,0,0,
30,measured-agent-decision,1785823222681096,1785823222684264,3168,201,1262427,11049713,1279868,run-root-181784,false,false,true,true,1,0,2,0,0,0,0,
31,measured-agent-decision,1785823222681096,1785823222682998,1902,201,1151513,10622970,1209020,run-root-181759,false,false,true,true,2,1,2,0,0,0,0,
32,measured-agent-decision,1785823222681096,1785823222685703,4607,201,1345021,10007663,1833016,run-root-181811,false,false,true,true,5,4,2,0,0,0,0,
33,measured-agent-decision,1785823222681096,1785823222685821,4725,201,1344309,11099176,1772037,run-root-181812,false,false,true,true,5,4,2,0,0,0,0,
34,measured-agent-decision,1785823222681096,1785823222687497,6401,201,1433388,11164013,1694652,run-root-181846,false,false,true,true,2,1,2,0,0,0,0,
35,measured-agent-decision,1785823222681096,1785823222682990,1894,201,1151771,10644816,1204388,run-root-181757,false,false,true,true,1,0,2,1,0,0,0,
36,measured-agent-decision,1785823222681096,1785823222685395,4299,201,1328396,11086136,1623889,run-root-181806,false,false,true,true,2,1,2,0,0,0,0,
37,measured-agent-decision,1785823222681096,1785823222687046,5950,201,1403198,11138797,1462445,run-root-181838,false,false,true,true,1,0,2,1,0,0,0,
38,measured-agent-decision,1785823222681096,1785823222688593,7497,201,1522024,11207980,1678417,run-root-181875,false,false,true,true,1,0,2,1,0,0,0,
39,measured-agent-decision,1785823222681096,1785823222683018,1922,201,1165809,10664058,1244286,run-root-181760,false,false,true,true,2,1,2,0,0,0,0,
40,measured-agent-decision,1785823222681096,1785823222684226,3130,201,1248011,11044291,1264981,run-root-181778,false,false,true,true,1,0,2,0,0,0,0,
41,measured-agent-decision,1785823222681096,1785823222685614,4518,201,1364630,11123734,1415731,run-root-181814,false,false,true,true,1,0,2,0,0,0,0,
42,measured-agent-decision,1785823222681096,1785823222687293,6197,201,1431215,11159518,1561951,run-root-181842,false,false,true,true,1,0,2,1,0,0,0,
43,measured-agent-decision,1785823222681096,1785823222683028,1932,201,1015871,9788700,1043808,run-root-181738,false,false,true,true,1,0,2,0,0,0,0,
44,measured-agent-decision,1785823222681096,1785823222684118,3022,201,1272593,11057378,1287940,run-root-181782,false,false,true,true,1,0,2,0,0,0,0,
45,measured-agent-decision,1785823222681096,1785823222684294,3198,201,1137490,10544402,1197501,run-root-181753,false,false,true,true,1,0,2,1,0,0,0,
46,measured-agent-decision,1785823222681096,1785823222684466,3370,201,1272993,11059720,1293492,run-root-181786,false,false,true,true,1,0,2,0,0,0,0,
47,measured-agent-decision,1785823222681096,1785823222683082,1986,201,1203314,10725569,1400028,run-root-181766,false,false,true,true,2,1,2,0,0,0,0,
48,measured-agent-decision,1785823222681096,1785823222684776,3680,201,1290513,11069262,1354096,run-root-181793,false,false,true,true,1,0,2,1,0,0,0,
49,measured-agent-decision,1785823222681096,1785823222686136,5040,201,1386465,11123357,1410497,run-root-181822,false,false,true,true,1,0,2,0,0,0,0,
50,measured-agent-decision,1785823222681096,1785823222689174,8078,201,1545478,11225425,1776140,run-root-181885,false,false,true,true,2,1,2,0,0,0,0,
51,measured-agent-decision,1785823222681096,1785823222683091,1995,201,1075905,10081850,1107927,run-root-181743,false,false,true,true,1,0,2,0,0,0,0,
52,measured-agent-decision,1785823222681096,1785823222684390,3294,201,1277944,11062535,1324346,run-root-181789,false,false,true,true,1,0,2,1,0,0,0,
53,measured-agent-decision,1785823222681096,1785823222684587,3491,201,1282334,11060004,1324054,run-root-181790,false,false,true,true,1,0,2,1,0,0,0,
54,measured-agent-decision,1785823222681096,1785823222687583,6487,201,1438837,11165971,1720509,run-root-181851,false,false,true,true,2,1,2,0,0,0,0,
55,measured-agent-decision,1785823222681096,1785823222689063,7967,201,1559087,11238353,1679740,run-root-181884,false,false,true,true,1,0,2,1,0,0,0,
56,measured-agent-decision,1785823222681096,1785823222683108,2012,201,1172710,10671357,1317043,run-root-181762,false,false,true,true,2,1,2,0,0,0,0,
57,measured-agent-decision,1785823222681096,1785823222683624,2528,201,1231963,11034955,1288011,run-root-181776,false,false,true,true,1,0,2,1,1,1,1,
58,measured-agent-decision,1785823222681096,1785823222685297,4201,201,1316918,11081509,1409097,run-root-181800,false,false,true,true,1,0,2,1,0,0,0,
59,measured-agent-decision,1785823222681096,1785823222686850,5754,201,1400340,11129582,1457656,run-root-181835,false,false,true,true,1,0,2,1,0,0,0,
60,measured-agent-decision,1785823222681096,1785823222688399,7303,201,1501038,11192700,1557111,run-root-181868,false,false,true,true,1,0,2,0,0,0,0,
61,measured-agent-decision,1785823222681096,1785823222683123,2027,201,1154034,10652360,1250329,run-root-181761,false,false,true,true,2,1,2,0,0,0,0,
62,measured-agent-decision,1785823222681096,1785823222684991,3895,201,1260247,11046008,1278838,run-root-181783,false,false,true,true,1,0,2,0,0,0,0,
63,measured-agent-decision,1785823222681096,1785823222685173,4077,201,1320714,11086781,1426495,run-root-181802,false,false,true,true,2,1,2,0,0,0,0,
64,measured-agent-decision,1785823222681096,1785823222688156,7060,201,1501691,11196817,1538869,run-root-181867,false,false,true,true,1,0,2,0,0,0,0,
65,measured-agent-decision,1785823222681096,1785823222689644,8548,201,1550393,11236080,1882921,run-root-181891,false,false,true,true,2,1,2,0,0,0,0,
66,measured-agent-decision,1785823222681096,1785823222683137,2041,201,1178985,9772046,1399315,run-root-181763,false,false,true,true,2,1,2,0,0,0,0,
67,measured-agent-decision,1785823222681096,1785823222685673,4577,201,1350771,11110332,1658358,run-root-181808,false,false,true,true,2,1,2,0,0,0,0,
68,measured-agent-decision,1785823222681096,1785823222687367,6271,201,1453877,11173290,1728125,run-root-181847,false,false,true,true,2,1,2,0,0,0,0,
69,measured-agent-decision,1785823222681096,1785823222687540,6444,201,1456121,11176418,1728043,run-root-181850,false,false,true,true,2,1,2,0,0,0,0,
70,measured-agent-decision,1785823222681096,1785823222690314,9218,201,1654565,11278869,1694807,run-root-181913,false,false,true,true,1,0,2,0,0,0,0,
71,measured-agent-decision,1785823222681096,1785823222683129,2033,201,1135392,10250122,1203281,run-root-181755,false,false,true,true,1,0,2,1,0,0,0,
72,measured-agent-decision,1785823222681096,1785823222684335,3239,201,1285126,9909998,1303576,run-root-181787,false,false,true,true,1,0,2,0,0,0,0,
73,measured-agent-decision,1785823222681096,1785823222687156,6060,201,1427672,11159514,1529017,run-root-181841,false,false,true,true,1,0,2,1,0,0,0,
