ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,measured-agent-decision,1785823455943448,1785823455945032,1584,201,147444,1230724,358433,run-root-184053,true,true,true,true,1,0,2,0,0,0,0,
1,measured-agent-decision,1785823455986338,1785823455987528,1190,201,119546,1197508,315013,run-root-184054,false,false,true,true,1,0,2,0,0,0,0,
2,measured-agent-decision,1785823456028113,1785823456029936,1823,201,114002,1183940,273167,run-root-184055,false,false,true,true,1,0,2,0,0,0,0,
3,measured-agent-decision,1785823456068856,1785823456070743,1887,201,68084,1143445,230559,run-root-184056,false,false,true,true,1,0,2,0,0,0,0,
4,measured-agent-decision,1785823456108640,1785823456109606,966,201,72568,1143098,222976,run-root-184057,false,false,true,true,1,0,2,1,0,0,0,
5,measured-agent-decision,1785823456147529,1785823456148643,1114,201,60400,1139916,183974,run-root-184058,false,false,true,true,1,0,2,1,0,0,0,
6,measured-agent-decision,1785823456185581,1785823456186778,1197,201,74208,1145965,140623,run-root-184059,false,false,true,true,1,0,2,1,0,0,0,
7,measured-agent-decision,1785823456222848,1785823456225317,2469,201,69618,157385,116399,run-root-184060,false,false,true,true,1,0,2,1,0,0,0,
8,measured-agent-decision,1785823456259377,1785823456260178,801,201,70270,173995,109056,run-root-184061,false,false,true,true,1,0,2,1,0,0,0,
9,measured-agent-decision,1785823456295210,1785823456296452,1242,201,67243,142341,92877,run-root-184062,false,false,true,true,1,0,2,1,0,0,0,
10,measured-agent-decision,1785823456330385,1785823456331387,1002,201,58044,120300,96844,run-root-184063,false,false,true,true,1,0,2,1,0,0,0,
11,measured-agent-decision,1785823456364937,1785823456366738,1801,201,52625,1098215,84470,run-root-184064,false,false,true,true,1,0,2,1,0,0,0,
12,measured-agent-decision,1785823456398898,1785823456400512,1614,201,66262,1091260,109783,run-root-184065,false,false,true,true,1,0,2,1,0,0,0,
13,measured-agent-decision,1785823456432297,1785823456433691,1394,201,64882,1089531,106427,run-root-184066,false,false,true,true,1,0,2,1,0,0,0,
14,measured-agent-decision,1785823456465162,1785823456466520,1358,201,71567,1097353,121763,run-root-184067,false,false,true,true,1,0,2,1,0,0,0,
15,measured-agent-decision,1785823456497517,1785823456499604,2087,201,74087,1098799,137629,run-root-184068,false,false,true,true,1,0,2,1,0,0,0,
