ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,measured-agent-decision,1785821243873595,1785821243875239,1644,201,107607,370818,322627,run-root-155179,true,true,true,true,2,1,2,0,0,0,0,
1,measured-agent-decision,1785821243877905,1785821243879938,2033,201,113854,395852,280223,run-root-155181,false,false,true,true,2,1,2,0,0,0,0,
2,measured-agent-decision,1785821243882215,1785821243883430,1215,201,126416,2433484,1415499,run-root-155184,false,false,true,true,5,4,2,0,0,0,0,
3,measured-agent-decision,1785821243886526,1785821243887807,1281,201,115968,582497,287363,run-root-155180,false,false,true,true,2,1,2,0,0,0,0,
4,measured-agent-decision,1785821243890836,1785821243893343,2507,201,120074,430578,239815,run-root-155185,false,false,true,true,1,0,2,0,0,0,0,
5,measured-agent-decision,1785821243895146,1785821243896771,1625,201,116187,1425207,782836,run-root-155183,false,false,true,true,5,4,2,0,0,0,0,
6,measured-agent-decision,1785821243899457,1785821243900472,1015,201,97173,1536012,746906,run-root-155182,false,false,true,true,5,4,2,0,0,0,0,
7,measured-agent-decision,1785821243903767,1785821243905229,1462,201,218563,623823,254046,run-root-155196,false,false,true,true,1,0,2,0,0,0,0,
8,measured-agent-decision,1785821243908077,1785821243909495,1418,201,108214,430561,153107,run-root-155186,false,false,true,true,1,0,2,0,0,0,0,
9,measured-agent-decision,1785821243912388,1785821243914288,1900,201,196196,583230,241565,run-root-155194,false,false,true,true,1,0,2,0,0,0,0,
10,measured-agent-decision,1785821243916698,1785821243918535,1837,201,182523,665637,226965,run-root-155191,false,false,true,true,1,0,2,0,0,0,0,
11,measured-agent-decision,1785821243921008,1785821243921976,968,201,195439,602808,238482,run-root-155195,false,false,true,true,1,0,2,0,0,0,0,
12,measured-agent-decision,1785821243925319,1785821243925688,369,201,177545,478330,211916,run-root-155193,false,false,true,true,1,0,2,0,0,0,0,
13,measured-agent-decision,1785821243929629,1785821243931121,1492,201,195261,629601,332065,run-root-155197,false,false,true,true,1,0,2,0,0,0,0,
14,measured-agent-decision,1785821243933939,1785821243934852,913,201,162537,444856,232118,run-root-155190,false,false,true,true,1,0,2,1,1,1,1,
15,measured-agent-decision,1785821243938250,1785821243938816,566,201,174391,590103,215629,run-root-155192,false,false,true,true,1,0,2,0,0,0,0,
16,measured-agent-decision,1785821243942560,1785821243942762,202,201,148724,404385,188391,run-root-155187,false,false,true,true,1,0,2,0,0,0,0,
17,measured-agent-decision,1785821243946870,1785821243948078,1208,201,146886,405653,206291,run-root-155189,false,false,true,true,1,0,2,1,1,1,1,
18,measured-agent-decision,1785821243951181,1785821243952580,1399,201,140426,392854,197833,run-root-155188,false,false,true,true,1,0,2,1,1,1,1,
19,measured-agent-decision,1785821243955491,1785821243955988,497,201,172100,833437,304912,run-root-155198,false,false,true,true,1,0,2,0,0,0,0,
20,measured-agent-decision,1785821243959801,1785821243961313,1512,201,176210,789865,217966,run-root-155200,false,false,true,true,1,0,2,0,0,0,0,
21,measured-agent-decision,1785821243964112,1785821243965128,1016,201,163218,581636,210472,run-root-155199,false,false,true,true,1,0,2,0,0,0,0,
22,measured-agent-decision,1785821243968422,1785821243968858,436,201,193246,615887,368962,run-root-155201,false,false,true,true,1,0,2,0,0,0,0,
23,measured-agent-decision,1785821243972732,1785821243973937,1205,201,191721,602926,217935,run-root-155202,false,false,true,true,1,0,2,0,0,0,0,
24,measured-agent-decision,1785821243977043,1785821243978115,1072,201,200045,621183,460198,run-root-155207,false,false,true,true,1,0,2,1,0,0,0,
25,measured-agent-decision,1785821243981353,1785821243982259,906,201,166870,583143,371314,run-root-155203,false,false,true,true,1,0,2,1,0,0,0,
26,measured-agent-decision,1785821243985663,1785821243987129,1466,201,185951,599428,227287,run-root-155206,false,false,true,true,1,0,2,1,0,0,0,
27,measured-agent-decision,1785821243989974,1785821243991361,1387,201,192177,622893,266101,run-root-155209,false,false,true,true,1,0,2,1,0,0,0,
28,measured-agent-decision,1785821243994284,1785821243995328,1044,201,170823,586352,231225,run-root-155204,false,false,true,true,1,0,2,1,0,0,0,
29,measured-agent-decision,1785821243998595,1785821244000157,1562,201,169040,616206,232495,run-root-155205,false,false,true,true,1,0,2,1,0,0,0,
30,measured-agent-decision,1785821244002905,1785821244004031,1126,201,186789,614260,249905,run-root-155210,false,false,true,true,1,0,2,1,0,0,0,
31,measured-agent-decision,1785821244007215,1785821244008564,1349,201,306246,762920,434997,run-root-155229,false,false,true,true,1,0,2,0,0,0,0,
32,measured-agent-decision,1785821244011526,1785821244012183,657,201,173604,595691,402380,run-root-155211,false,false,true,true,1,0,2,1,0,0,0,
33,measured-agent-decision,1785821244015836,1785821244017243,1407,201,287733,707016,480654,run-root-155230,false,false,true,true,1,0,2,1,1,1,1,
34,measured-agent-decision,1785821244020146,1785821244021057,911,201,153897,476524,200934,run-root-155208,false,false,true,true,1,0,2,1,0,0,0,
35,measured-agent-decision,1785821244024457,1785821244025204,747,201,181316,593583,299453,run-root-155212,false,false,true,true,1,0,2,1,0,0,0,
36,measured-agent-decision,1785821244028767,1785821244030522,1755,201,178664,596130,391252,run-root-155213,false,false,true,true,1,0,2,1,0,0,0,
37,measured-agent-decision,1785821244033077,1785821244034738,1661,201,176726,609047,364688,run-root-155216,false,false,true,true,2,1,2,0,0,0,0,
38,measured-agent-decision,1785821244037388,1785821244037980,592,201,185198,604452,391319,run-root-155215,false,false,true,true,2,1,2,0,0,0,0,
39,measured-agent-decision,1785821244041698,1785821244043190,1492,201,177123,1603324,704873,run-root-155218,false,false,true,true,2,1,2,0,0,0,0,
40,measured-agent-decision,1785821244046008,1785821244046872,864,201,159572,1581447,562773,run-root-155217,false,false,true,true,2,1,2,0,0,0,0,
