ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,measured-agent-decision,1785818971773375,1785818971774874,1499,201,127319,1169135,250803,run-root-114027,true,true,true,true,1,0,2,0,0,0,0,
1,measured-agent-decision,1785818971816853,1785818971818761,1908,201,113067,1163612,226386,run-root-114028,false,false,true,true,1,0,2,1,1,1,1,
2,measured-agent-decision,1785818971860331,1785818971862085,1754,201,90157,1132115,182710,run-root-114029,false,false,true,true,1,0,2,1,1,1,1,
3,measured-agent-decision,1785818971903809,1785818971905689,1880,201,70634,1122948,142862,run-root-114030,false,false,true,true,1,0,2,1,1,1,1,
4,measured-agent-decision,1785818971947288,1785818971948629,1341,201,58712,1110412,151338,run-root-114031,false,false,true,true,1,0,2,0,0,0,0,
5,measured-agent-decision,1785818971990766,1785818971991652,886,201,72629,147622,90774,run-root-114032,false,false,true,true,1,0,2,0,0,0,0,
6,measured-agent-decision,1785818972034244,1785818972035113,869,201,94769,1132762,130474,run-root-114033,false,false,true,true,1,0,2,0,0,0,0,
7,measured-agent-decision,1785818972077722,1785818972078472,750,201,63349,110839,86203,run-root-114034,false,false,true,true,1,0,2,0,0,0,0,
8,measured-agent-decision,1785818972121201,1785818972122997,1796,201,82562,1109469,106877,run-root-114035,false,false,true,true,1,0,2,0,0,0,0,
9,measured-agent-decision,1785818972164679,1785818972166170,1491,201,86637,159423,133696,run-root-114036,false,false,true,true,1,0,2,0,0,0,0,
10,measured-agent-decision,1785818972208157,1785818972209381,1224,201,49659,1127961,161525,run-root-114037,false,false,true,true,1,0,2,0,0,0,0,
11,measured-agent-decision,1785818972251635,1785818972252271,636,201,81634,163484,152171,run-root-114038,false,false,true,true,1,0,2,0,0,0,0,
12,measured-agent-decision,1785818972295114,1785818972296526,1412,201,69001,1165730,175880,run-root-114039,false,false,true,true,1,0,2,0,0,0,0,
13,measured-agent-decision,1785818972338592,1785818972339721,1129,201,73663,129599,95349,run-root-114040,false,false,true,true,1,0,2,0,0,0,0,
14,measured-agent-decision,1785818972382070,1785818972383514,1444,201,63792,106714,83101,run-root-114041,false,false,true,true,1,0,2,0,0,0,0,
15,measured-agent-decision,1785818972425548,1785818972426214,666,201,75794,1102514,253717,run-root-114042,false,false,true,true,1,0,2,0,0,0,0,
16,measured-agent-decision,1785818972469027,1785818972470992,1965,201,74714,1162977,232724,run-root-114043,false,false,true,true,1,0,2,1,0,0,0,
17,measured-agent-decision,1785818972512505,1785818972514070,1565,201,55378,1131236,190770,run-root-114044,false,false,true,true,1,0,2,1,0,0,0,
18,measured-agent-decision,1785818972555983,1785818972557918,1935,201,79682,1144674,154154,run-root-114045,false,false,true,true,1,0,2,1,0,0,0,
19,measured-agent-decision,1785818972599461,1785818972600110,649,201,73104,1127628,196815,run-root-114046,false,false,true,true,1,0,2,1,0,0,0,
20,measured-agent-decision,1785818972642940,1785818972644677,1737,201,73527,117667,99769,run-root-114047,false,false,true,true,1,0,2,1,0,0,0,
21,measured-agent-decision,1785818972686418,1785818972687191,773,201,65132,1097691,96837,run-root-114048,false,false,true,true,1,0,2,1,0,0,0,
22,measured-agent-decision,1785818972729896,1785818972731946,2050,201,54647,1091833,96081,run-root-114049,false,false,true,true,1,0,2,1,0,0,0,
23,measured-agent-decision,1785818972773375,1785818972775055,1680,201,70799,1099121,154024,run-root-114050,false,false,true,true,1,0,2,1,0,0,0,
24,measured-agent-decision,1785818972816853,1785818972818524,1671,201,78629,1133616,129661,run-root-114051,false,false,true,true,1,0,2,1,0,0,0,
25,measured-agent-decision,1785818972860331,1785818972861607,1276,201,65225,1103184,110632,run-root-114052,false,false,true,true,1,0,2,1,0,0,0,
26,measured-agent-decision,1785818972903809,1785818972905614,1805,201,79226,1106549,111554,run-root-114053,false,false,true,true,1,0,2,1,0,0,0,
27,measured-agent-decision,1785818972947288,1785818972948294,1006,201,71177,1110672,116474,run-root-114054,false,false,true,true,1,0,2,1,0,0,0,
28,measured-agent-decision,1785818972990766,1785818972991572,806,201,67651,1088576,140735,run-root-114055,false,false,true,true,2,1,2,0,0,0,0,
29,measured-agent-decision,1785818973034244,1785818973035647,1403,201,70162,1098089,151897,run-root-114056,false,false,true,true,2,1,2,0,0,0,0,
30,measured-agent-decision,1785818973077722,1785818973078509,787,201,69502,1137679,126240,run-root-114057,false,false,true,true,2,1,2,0,0,0,0,
31,measured-agent-decision,1785818973121201,1785818973122770,1569,201,76408,1134411,192423,run-root-114058,false,false,true,true,2,1,2,0,0,0,0,
