ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,measured-agent-decision,1785819075114481,1785819075115902,1421,201,141590,1373257,458843,run-root-115408,true,true,true,true,5,4,2,0,0,0,0,
1,measured-agent-decision,1785819075118791,1785819075120054,1263,201,142377,1321043,510568,run-root-115409,false,false,true,true,5,4,2,0,0,0,0,
2,measured-agent-decision,1785819075123101,1785819075124186,1085,201,119659,476713,311453,run-root-115407,false,false,true,true,2,1,2,0,0,0,0,
3,measured-agent-decision,1785819075127412,1785819075129333,1921,201,140592,1432029,484395,run-root-115410,false,false,true,true,5,4,2,0,0,0,0,
4,measured-agent-decision,1785819075131722,1785819075132475,753,201,161471,484117,208208,run-root-115412,false,false,true,true,1,0,2,0,0,0,0,
5,measured-agent-decision,1785819075136032,1785819075136639,607,201,144340,463769,184049,run-root-115411,false,false,true,true,1,0,2,0,0,0,0,
6,measured-agent-decision,1785819075140343,1785819075141953,1610,201,169776,480088,221395,run-root-115415,false,false,true,true,1,0,2,1,1,1,1,
7,measured-agent-decision,1785819075144653,1785819075145896,1243,201,170349,477578,198287,run-root-115418,false,false,true,true,1,0,2,0,0,0,0,
8,measured-agent-decision,1785819075148963,1785819075149606,643,201,148306,1309009,287491,run-root-115413,false,false,true,true,1,0,2,0,0,0,0,
9,measured-agent-decision,1785819075153274,1785819075155090,1816,201,150356,313079,229099,run-root-115416,false,false,true,true,1,0,2,1,1,1,1,
10,measured-agent-decision,1785819075157584,1785819075159334,1750,201,134563,1282432,315941,run-root-115414,false,false,true,true,1,0,2,1,1,1,1,
11,measured-agent-decision,1785819075161894,1785819075162594,700,201,142828,296540,198785,run-root-115417,false,false,true,true,1,0,2,0,0,0,0,
12,measured-agent-decision,1785819075166205,1785819075168484,2279,201,169315,466970,190234,run-root-115420,false,false,true,true,1,0,2,0,0,0,0,
13,measured-agent-decision,1785819075170515,1785819075171976,1461,201,159747,367810,186651,run-root-115419,false,false,true,true,1,0,2,0,0,0,0,
14,measured-agent-decision,1785819075174825,1785819075175657,832,201,170636,468852,202814,run-root-115421,false,false,true,true,1,0,2,0,0,0,0,
15,measured-agent-decision,1785819075179136,1785819075179423,287,201,177274,528051,213035,run-root-115423,false,false,true,true,1,0,2,0,0,0,0,
16,measured-agent-decision,1785819075183446,1785819075184765,1319,201,168725,474167,195258,run-root-115422,false,false,true,true,1,0,2,0,0,0,0,
17,measured-agent-decision,1785819075187756,1785819075188556,800,201,175657,418693,206486,run-root-115425,false,false,true,true,1,0,2,0,0,0,0,
